,,,,TURNOUT,,,,,,,REJECTED BALLOTS,,,,,,,POSTAL VOTES,,,,,,,,,,,,,,,,,,,AUTHORITY DATA,,,,,,,,,,,,,,
ONS code,Authority,Ward Name,Electorate ,Total number of ballots at count ,Ballot box turnout (inc votes rejected at count),Total number of valid votes counted,Valid vote turnout (all valid votes),Total number of ballots returned by close of poll,Total participation turnout (inc postal votes rejected and votes  rejected at count),,Number of ballot papers rejected or not counted at the count for a) want of official mark,Number of ballot papers rejected at the count for b) voting more than once,Number of ballot papers rejected at the count for c) Writing or mark by which the voter could be identified,Number of ballot papers rejected at the count for d) unmarked or wholly void for uncertainty,Number of ballot papers rejected at the count for e) rejected in part,Total number of ballot papers rejected at the count ,,Number of postal ballot papers issued,Total number of covering envelopes received by RO before the close of poll ,Number of covering envelopes received after close of poll,Number of covering envelopes returned as undelivered ,Number of covering envelopes set aside for verification,Number of postal voting statements rejected following verification -not completed,Number of postal voting statements rejected following verification -personal identifier match,Number of postal votes included in the count,TOTAL marked 'REJECTED',,PV statement rejected (No signature),PV statement rejected (No DoB),PV statement rejected (Both),PV statement rejected (Mismatched signature) ,PV statement rejected (Mismatched DoB) ,PV statement rejected (Mismatched both) ,Ballot paper not returned ,Postal voting statement unreturned ,,Proxies appointed for this election,Emergency proxies  appointed,Waivers were granted for this election,What was the total number of polling stations used?,At what time did counting for ballot papers begin?,At what time did voting for ballot papers end?,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E05009412,Milton Keynes,Central Milton Keynes,"9,780","5,178",52.94,"5,114",52.29,"5,214",53.31,,0,6,1,57,0,64,,"1,147",989,3,5,989,5,12,953,0,,,,,,,,,,,,,,,,,,,,,,,,,
E05009413,Milton Keynes,Danesborough and Walton,"9,057","6,443",71.14,"6,377",70.41,"6,481",71.56,,0,0,0,66,0,66,,"1,227","1,118",3,1,"1,118",7,7,"1,080",0,,,,,,,,,,,,,,,,,,,,,,,,,
E05009414,Milton Keynes,Loughton and Shenley,"10,368","6,922",66.76,"6,877",66.33,"6,970",67.23,,0,0,0,45,0,45,,"1,649","1,464",7,2,"1,464",9,8,"1,416",0,,,,,,,,,,,,,,,,,,,,,,,,,
E05009415,Milton Keynes,Monkston,"9,047","5,599",61.89,"5,558",61.43,"5,631",62.24,,0,0,0,41,0,41,,"1,219","1,071",2,5,"1,071",3,5,"1,039",0,,,,,,,,,,,,,,,,,,,,,,,,,
E05009416,Milton Keynes,Newport Pagnell North and Hanslope,"9,812","7,015",71.49,"6,967",71.00,"7,025",71.60,,0,1,0,47,0,48,,"1,368","1,198",0,0,0,3,7,"1,188",0,,,,,,,,,,,,,,,,,,,,,,,,,
E05009417,Milton Keynes,Newport Pagnell South,"9,233","6,388",69.19,"6,373",69.02,"6,421",69.54,,0,0,0,15,0,15,,"1,432","1,293",12,4,"1,293",6,7,"1,260",0,,,,,,,,,,,,,,,,,,,,,,,,,
E05009418,Milton Keynes,Olney,"9,626","7,419",77.07,"7,366",76.52,"7,465",77.55,,0,2,0,51,0,53,,"1,459","1,344",5,6,"1,344",5,12,"1,298",29,,,,,,,,,,,,,,,,,,,,,,,,,
E05009419,Milton Keynes,Shenley Brook End,"9,625","6,167",64.07,"6,144",63.83,"6,216",64.58,,0,3,0,20,0,23,,"1,480","1,301",4,1,"1,301",11,24,"1,252",14,,,,,,,,,,,,,,,,,,,,,,,,,
E05009420,Milton Keynes,Stantonbury,"11,240","7,056",62.78,"7,003",62.30,"7,145",63.57,,0,8,0,45,0,53,,"1,782","1,607",1,7,"1,607",17,12,"1,518",60,,,,,,,,,,,,,,,,,,,,,,,,,
E05009421,Milton Keynes,Stony Stratford,"7,909","5,451",68.92,"5,416",68.48,"5,488",69.39,,0,1,0,34,0,35,,"1,311","1,205",1,3,"1,205",8,3,"1,168",0,,,,,,,,,,,,,,,,,,,,,,,,,
E05009422,Milton Keynes,Tattenhoe,"7,867","5,039",64.05,"5,028",63.91,"5,077",64.54,,0,1,0,10,0,11,,"1,115",976,7,3,976,6,5,938,27,,,,,,,,,,,,,,,,,,,,,,,,,
E05009423,Milton Keynes,Wolverton,"10,811","6,725",62.21,"6,667",61.67,"6,822",63.10,,0,6,0,52,0,58,,"1,497","1,381",5,2,"1,381",10,13,"1,284",0,,,,,,,,,,,,,,,,,,,,,,,,,
E05009424,Milton Keynes,Woughton and Fishermead,"10,831","5,709",52.71,"5,670",52.35,"5,754",53.13,,0,12,1,26,0,39,,"1,446","1,219",0,7,"1,219",3,9,"1,174",33,,,,,,,,,,,,,,,,,,,,,,,,,
E05001713,North East Lincolnshire,Croft Baker,"8,524","5,177",60.74,"5,145",60.36,"5,214",61.17,,0,1,0,31,,32,,"1,372","1,156",5,6,"1,156",3,37,"1,119",37,,8,8,1,182,107,26,2,6,,52,6,46,96,11:30,14:00,,,,,,,,,
E05001714,North East Lincolnshire,East Marsh,"6,842","2,987",43.66,"2,971",43.43,"3,003",43.89,,0,0,0,16,,16,,599,453,2,1,453,6,15,437,15,,,,,,,,,,,,,,,,,,,,,,,,,
E05001715,North East Lincolnshire,Freshney,"7,252","4,300",59.29,"4,281",59.03,"4,322",59.59,,0,1,0,18,,19,,959,814,10,5,814,8,22,792,21,,,,,,,,,,,,,,,,,,,,,,,,,
E05001716,North East Lincolnshire,Haverstoe,"8,154","5,794",71.06,"5,761",70.66,"5,819",71.37,,0,4,0,29,,33,,"1,396","1,239",12,1,"1,239",3,24,"1,214",25,,,,,,,,,,,,,,,,,,,,,,,,,
E05001717,North East Lincolnshire,Heneage,"7,937","4,405",55.50,"4,377",55.15,"4,424",55.74,,0,5,0,23,,28,,901,754,5,4,754,7,17,735,19,,,,,,,,,,,,,,,,,,,,,,,,,
E05001718,North East Lincolnshire,Humberston & New Waltham,"8,835","6,014",68.07,"5,984",67.73,"6,049",68.47,,0,1,0,29,,30,,"1,447","1,252",10,1,"1,252",9,30,"1,217",31,,,,,,,,,,,,,,,,,,,,,,,,,
