,,,,TURNOUT,,,,,,,REJECTED BALLOTS,,,,,,,POSTAL VOTES,,,,,,,,,,,,,,,,,,,AUTHORITY DATA,,,,,,,,,,,,,,
ONS code,Authority,Ward Name,Electorate ,Total number of ballots at count ,Ballot box turnout (inc votes rejected at count),Total number of valid votes counted,Valid vote turnout (all valid votes),Total number of ballots returned by close of poll,Total participation turnout (inc postal votes rejected and votes  rejected at count),,Number of ballot papers rejected or not counted at the count for a) want of official mark,Number of ballot papers rejected at the count for b) voting more than once,Number of ballot papers rejected at the count for c) Writing or mark by which the voter could be identified,Number of ballot papers rejected at the count for d) unmarked or wholly void for uncertainty,Number of ballot papers rejected at the count for e) rejected in part,Total number of ballot papers rejected at the count ,,Number of postal ballot papers issued,Total number of covering envelopes received by RO before the close of poll ,Number of covering envelopes received after close of poll,Number of covering envelopes returned as undelivered ,Number of covering envelopes set aside for verification,Number of postal voting statements rejected following verification -not completed,Number of postal voting statements rejected following verification -personal identifier match,Number of postal votes included in the count,TOTAL marked 'REJECTED',,PV statement rejected (No signature),PV statement rejected (No DoB),PV statement rejected (Both),PV statement rejected (Mismatched signature) ,PV statement rejected (Mismatched DoB) ,PV statement rejected (Mismatched both) ,Ballot paper not returned ,Postal voting statement unreturned ,,Proxies appointed for this election,Emergency proxies  appointed,Waivers were granted for this election,What was the total number of polling stations used?,At what time did counting for ballot papers begin?,At what time did voting for ballot papers end?,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E05002439,Brighton & Hove,Withdean,"11,206","8,570",76.48,"8,525",76.08,"8,716",77.78,,0,5,1,39,0,45,,"2,356","2,166",7,12,"2,166",16,31,"2,020",144,,,,,,,,,,,,,,,,,,,,,,,,,
E05002440,Brighton & Hove,Woodingdean,"7,616","5,350",70.25,"5,317",69.82,"5,490",72.09,,0,2,0,31,0,33,,"1,518","1,428",3,6,"1,428",10,31,"1,288",140,,,,,,,,,,,,,,,,,,,,,,,,,
E05001972,Bristol,ASHLEY,"12,294","8,766",71.30,"8,714",70.88,"8,801",71.59,,0,9,0,43,0,52,,"1,439","1,062",14,5,0,5,30,"1,027",0,,12,8,148,203,228,72,0,72,,858,14,30,121,,,,,,,,,,,
E05001974,Bristol,BEDMINSTER,"10,664","7,156",67.10,"7,092",66.50,"7,192",67.44,,0,3,0,61,0,64,,"1,570","1,232",8,4,0,11,25,"1,196",0,,,,,,,,,,,,,,,,,,,,,,,,,
E05001976,Bristol,BISHOPSWORTH,"8,991","5,095",56.67,"5,046",56.12,"5,119",56.93,,0,2,1,46,0,49,,"1,541","1,234",0,6,0,9,15,"1,210",0,,,,,,,,,,,,,,,,,,,,,,,,,
E05001977,Bristol,BRISLINGTON EAST,"9,318","5,743",61.63,"5,723",61.42,"5,779",62.02,,0,0,0,20,0,20,,"1,530","1,228",5,2,0,12,24,"1,192",0,,,,,,,,,,,,,,,,,,,,,,,,,
E05001978,Bristol,BRISLINGTON WEST,"8,972","5,971",66.55,"5,944",66.25,"5,993",66.80,,0,5,0,22,0,27,,"1,261","1,010",3,2,0,6,16,988,0,,,,,,,,,,,,,,,,,,,,,,,,,
E05001979,Bristol,CABOT,"12,755","7,590",59.51,"7,547",59.17,"7,612",59.68,,0,5,0,38,0,43,,"1,303",993,12,13,0,9,13,971,0,,,,,,,,,,,,,,,,,,,,,,,,,
E05001980,Bristol,CLIFTON,"9,265","6,598",71.21,"6,564",70.85,"6,621",71.46,,0,4,0,30,0,34,,"1,308","1,070",8,6,0,6,17,"1,047",0,,,,,,,,,,,,,,,,,,,,,,,,,
E05001981,Bristol,CLIFTON EAST,"8,798","6,036",68.61,"5,999",68.19,"6,050",68.77,,0,3,0,34,0,37,,"1,002",804,9,4,0,7,7,790,0,,,,,,,,,,,,,,,,,,,,,,,,,
E05001982,Bristol,COTHAM,"10,703","7,389",69.04,"7,339",68.57,"7,408",69.21,,0,6,0,44,0,50,,"1,294","1,043",7,9,0,2,17,"1,024",0,,,,,,,,,,,,,,,,,,,,,,,,,
E05001983,Bristol,EASTON,"10,037","6,589",65.65,"6,534",65.10,"6,615",65.91,,0,6,0,49,0,55,,"1,244",936,6,8,0,2,24,910,0,,,,,,,,,,,,,,,,,,,,,,,,,
E05001984,Bristol,EASTVILLE,"9,330","5,982",64.12,"5,933",63.59,"6,028",64.61,,0,8,1,40,0,49,,"1,527","1,217",6,5,0,14,32,"1,171",0,,,,,,,,,,,,,,,,,,,,,,,,,
E05001985,Bristol,FILWOOD,"8,705","4,183",48.05,"4,165",47.85,"4,212",48.39,,0,4,0,14,0,18,,"1,121",840,6,4,0,8,21,811,0,,,,,,,,,,,,,,,,,,,,,,,,,
E05001986,Bristol,FROME VALE,"8,762","5,597",63.88,"5,574",63.62,"5,636",64.32,,0,6,1,16,0,23,,"1,643","1,357",1,6,0,8,31,"1,318",0,,,,,,,,,,,,,,,,,,,,,,,,,
E05001987,Bristol,HARTCLIFFE,"8,938","4,719",52.80,"4,705",52.64,"4,749",53.13,,0,1,0,13,0,14,,"1,499","1,196",7,8,0,9,21,"1,166",0,,,,,,,,,,,,,,,,,,,,,,,,,
E05001989,Bristol,HENGROVE,"9,236","5,538",59.96,"5,518",59.74,"5,574",60.35,,0,1,0,19,0,20,,"1,613","1,285",4,9,0,2,34,"1,249",0,,,,,,,,,,,,,,,,,,,,,,,,,
E05001991,Bristol,HILLFIELDS,"10,201","6,046",59.27,"6,017",58.98,"6,065",59.45,,0,4,1,24,0,29,,"1,415","1,099",1,9,0,3,16,"1,080",0,,,,,,,,,,,,,,,,,,,,,,,,,
E05001994,Bristol,KNOWLE,"8,821","5,889",66.76,"5,864",66.48,"5,909",66.99,,0,3,0,22,0,25,,"1,283","1,057",4,1,0,6,14,"1,037",0,,,,,,,,,,,,,,,,,,,,,,,,,
E05001995,Bristol,LAWRENCE HILL,"12,166","6,981",57.38,"6,916",56.85,"7,020",57.70,,0,15,1,49,0,65,,"1,430","1,070",11,9,0,11,28,"1,031",0,,,,,,,,,,,,,,,,,,,,,,,,,
E05002001,Bristol,SOUTHVILLE,"10,460","7,285",69.65,"7,240",69.22,"7,310",69.89,,0,3,0,42,0,45,,"1,390","1,112",2,6,0,4,21,"1,087",0,,,,,,,,,,,,,,,,,,,,,,,,,
E05001998,Bristol,ST. GEORGE EAST,"9,768","6,178",63.25,"6,154",63.00,"6,206",63.53,,0,2,0,22,0,24,,"1,695","1,336",9,9,0,11,17,"1,308",0,,,,,,,,,,,,,,,,,,,,,,,,,
E05001999,Bristol,ST. GEORGE WEST,"9,355","5,720",61.14,"5,686",60.78,"5,757",61.54,,0,4,1,29,0,34,,"1,439","1,131",5,12,0,11,26,"1,094",0,,,,,,,,,,,,,,,,,,,,,,,,,
E05002002,Bristol,STOCKWOOD,"8,678","5,470",63.03,"5,452",62.83,"5,487",63.23,,0,2,0,16,0,18,,"1,273","1,030",4,3,0,4,13,"1,013",0,,,,,,,,,,,,,,,,,,,,,,,,,
E05002005,Bristol,WHITCHURCH PARK,"8,352","4,510",54.00,"4,498",53.86,"4,537",54.32,,0,2,0,10,0,12,,"1,134",927,2,0,0,4,23,900,0,,,,,,,,,,,,,,,,,,,,,,,,,
E05002006,Bristol,WINDMILL HILL,"10,285","7,035",68.40,"6,993",67.99,"7,057",68.61,,0,2,0,40,0,42,,"1,361","1,121",6,4,0,4,18,"1,099",0,,,,,,,,,,,,,,,,,,,,,,,,,
E05008778,Central Bedfordshire,Ampthill,"9,905","7,278",73.48,"7,155",72.24,"7,335",74.05,,0,4,0,119,0,123,,"1,798","1,536",7,3,"1,536",6,11,"1,479",57,,34,11,9,75,110,13,272,281,,579,52,157,173,15:00,12:00,,,,,,,,,
E05008779,Central Bedfordshire,Arlesey,"11,626","7,968",68.54,"7,884",67.81,"8,003",68.84,,0,0,0,84,0,84,,"2,093","1,740",28,6,"1,740",6,3,"1,705",35,,,,,,,,,,,,,,,,,,,,,,,,,
E05008780,Central Bedfordshire,Aspley & Woburn,"3,831","2,780",72.57,"2,747",71.70,"2,808",73.30,,0,1,0,32,0,33,,752,638,0,8,638,2,8,610,28,,,,,,,,,,,,,,,,,,,,,,,,,
E05008781,Central Bedfordshire,Barton-le-Clay,"4,031","2,982",73.98,"2,969",73.65,"2,998",74.37,,0,0,0,13,0,13,,598,528,3,5,528,2,5,512,16,,,,,,,,,,,,,,,,,,,,,,,,,
E05008782,Central Bedfordshire,Biggleswade North,"5,846","3,666",62.71,"3,630",62.09,"3,681",62.97,,0,24,0,12,0,36,,"1,213",993,13,8,993,2,6,978,15,,,,,,,,,,,,,,,,,,,,,,,,,
E05008783,Central Bedfordshire,Biggleswade South,"8,125","5,412",66.61,"5,387",66.30,"5,445",67.02,,0,1,0,24,0,25,,"1,823","1,526",28,6,"1,526",4,16,"1,493",33,,,,,,,,,,,,,,,,,,,,,,,,,
E05008784,Central Bedfordshire,Caddington,"7,610","5,472",71.91,"5,425",71.29,"5,489",72.13,,0,3,0,44,0,47,,"1,208",992,1,2,992,0,8,975,17,,,,,,,,,,,,,,,,,,,,,,,,,
E05008785,Central Bedfordshire,Cranfield & Marston Moretaine,"9,325","6,269",67.23,"6,245",66.97,"6,310",67.67,,0,2,0,22,0,24,,"1,427","1,180",3,8,"1,180",1,18,"1,139",41,,,,,,,,,,,,,,,,,,,,,,,,,
E05008786,Central Bedfordshire,Dunstable Central,"3,584","2,250",62.78,"2,205",61.52,"2,266",63.23,,0,4,0,41,0,45,,564,462,0,3,462,2,2,446,16,,,,,,,,,,,,,,,,,,,,,,,,,
E05008787,Central Bedfordshire,Dunstable Icknield,"6,068","3,840",63.28,"3,784",62.36,"3,871",63.79,,0,0,0,56,0,56,,819,695,2,6,695,3,9,664,31,,,,,,,,,,,,,,,,,,,,,,,,,
E05008788,Central Bedfordshire,Dunstable Manshead,"3,878","2,292",59.10,"2,251",58.05,"2,315",59.70,,0,3,0,38,0,41,,537,427,0,1,427,1,1,404,23,,,,,,,,,,,,,,,,,,,,,,,,,
E05008789,Central Bedfordshire,Dunstable Northfields,"7,073","4,194",59.30,"4,129",58.38,"4,233",59.85,,0,5,0,60,0,65,,"1,007",828,0,8,828,4,8,789,39,,,,,,,,,,,,,,,,,,,,,,,,,
E05008790,Central Bedfordshire,Dunstable Watling,"7,708","5,321",69.03,"5,235",67.92,"5,362",69.56,,0,3,0,83,0,86,,"1,151",993,1,1,993,1,7,952,41,,,,,,,,,,,,,,,,,,,,,,,,,
E05008791,Central Bedfordshire,Eaton Bray,"3,381","2,410",71.28,"2,389",70.66,"2,422",71.64,,0,0,0,21,0,21,,513,457,0,1,457,2,0,445,12,,,,,,,,,,,,,,,,,,,,,,,,,
E05008792,Central Bedfordshire,Flitwick,"10,451","7,319",70.03,"7,262",69.49,"7,381",70.62,,0,2,0,55,0,57,,"1,809","1,511",3,7,"1,511",1,14,"1,449",62,,,,,,,,,,,,,,,,,,,,,,,,,
E05008793,Central Bedfordshire,Heath & Reach,,Uncontested,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E05008794,Central Bedfordshire,Houghton Conquest & Haynes,"2,230","1,705",76.46,"1,683",75.47,"1,716",76.95,,0,0,0,22,0,22,,350,314,1,2,314,2,1,303,11,,,,,,,,,,,,,,,,,,,,,,,,,
E05008795,Central Bedfordshire,Houghton Hall,"6,160","3,454",56.07,"3,389",55.02,"3,489",56.64,,0,3,0,62,0,65,,795,653,2,2,653,4,6,618,35,,,,,,,,,,,,,,,,,,,,,,,,,
E05008796,Central Bedfordshire,Leighton Buzzard North,"11,519","7,208",62.57,"7,106",61.69,"7,255",62.98,,0,1,0,101,0,102,,"1,469","1,244",4,2,"1,244",5,7,"1,197",47,,,,,,,,,,,,,,,,,,,,,,,,,
E05008797,Central Bedfordshire,Leighton Buzzard South,"9,753","6,208",63.65,"6,135",62.90,"6,239",63.97,,0,27,0,46,0,73,,"1,291","1,101",3,6,"1,101",2,6,"1,070",31,,,,,,,,,,,,,,,,,,,,,,,,,
E05008798,Central Bedfordshire,Linslade,"9,562","6,790",71.01,"6,719",70.27,"6,828",71.41,,0,24,0,47,0,71,,"1,406","1,189",4,2,"1,189",4,9,"1,151",38,,,,,,,,,,,,,,,,,,,,,,,,,
E05008799,Central Bedfordshire,Northill,"3,605","1,532",42.50,"1,518",42.11,"1,541",42.75,,0,0,0,14,0,14,,629,552,1,1,552,0,4,543,9,,,,,,,,,,,,,,,,,,,,,,,,,
E05008800,Central Bedfordshire,Parkside,"3,622","1,911",52.76,"1,898",52.40,"1,930",53.29,,0,5,0,8,0,13,,420,319,1,1,319,2,5,300,19,,,,,,,,,,,,,,,,,,,,,,,,,
E05008801,Central Bedfordshire,Potton,"6,323","4,605",72.83,"4,572",72.31,"4,619",73.05,,0,3,0,30,0,33,,985,854,13,2,854,1,6,840,14,,,,,,,,,,,,,,,,,,,,,,,,,
E05008802,Central Bedfordshire,Sandy,"10,044","6,459",64.31,"6,422",63.94,"6,498",64.70,,0,6,0,31,0,37,,"1,839","1,484",19,10,"1,484",1,21,"1,445",39,,,,,,,,,,,,,,,,,,,,,,,,,
E05008803,Central Bedfordshire,Shefford,"7,449","5,108",68.57,"5,077",68.16,"5,120",68.73,,0,4,0,27,0,31,,"1,268","1,008",9,7,"1,008",2,3,996,12,,,,,,,,,,,,,,,,,,,,,,,,,
E05008804,Central Bedfordshire,Silsoe & Shillington,"4,099","3,055",74.53,"3,032",73.97,"3,073",74.97,,0,3,0,20,0,23,,583,490,7,0,490,1,3,472,18,,,,,,,,,,,,,,,,,,,,,,,,,
E05008805,Central Bedfordshire,Stotfold & Langford,"11,048","7,646",69.21,"7,608",68.86,"7,670",69.42,,0,2,1,35,0,38,,"1,862","1,541",3,8,"1,541",0,13,"1,517",24,,,,,,,,,,,,,,,,,,,,,,,,,
E05008806,Central Bedfordshire,Tithe Farm,"3,181","1,741",54.73,"1,707",53.66,"1,762",55.39,,0,9,0,25,0,34,,332,277,3,1,277,4,1,256,21,,,,,,,,,,,,,,,,,,,,,,,,,
E05008807,Central Bedfordshire,Toddington,"7,715","5,475",70.97,"5,450",70.64,"5,501",71.30,,0,1,0,24,0,25,,969,838,5,6,838,1,2,812,26,,,,,,,,,,,,,,,,,,,,,,,,,
E05008808,Central Bedfordshire,Westoning Flitton & Greenfield,"3,877","2,869",74.00,"2,834",73.10,"2,884",74.39,,0,1,20,14,0,35,,625,554,1,2,554,0,2,539,15,,,,,,,,,,,,,,,,,,,,,,,,,
E05008610,Cheshire East,Alderley Edge,"3,728","2,485",66.66,"2,458",65.94,"2,544",68.24,,0,0,2,25,0,27,,885,807,2,,807,8,49,748,59,,179,124,215,625,365,83,50,141,,917,31,419,284,15:00,23:00,,,,,,,,,
E05008611,Cheshire East,Alsager,"9,239","6,451",69.82,"6,414",69.42,"6,499",70.34,,0,11,0,26,0,37,,"1,793","1,515",7,,"1,515",16,29,"1,467",48,,,,,,,,,,,,,,,,,,,,,,,,,
E05008612,Cheshire East,Audlem,"3,834","2,808",73.24,"2,800",73.03,"2,825",73.68,,0,0,0,8,0,8,,600,511,2,,511,5,6,494,17,,,,,,,,,,,,,,,,,,,,,,,,,
E05008613,Cheshire East,Bollington,"6,531","4,671",71.52,"4,621",70.75,"4,708",72.09,,0,0,11,37,2,50,,"1,172","1,026",4,,"1,026",8,26,989,37,,,,,,,,,,,,,,,,,,,,,,,,,
E05008614,Cheshire East,Brereton Rural,"3,748","2,958",78.91,"2,926",78.06,"2,976",79.39,,0,2,0,30,0,32,,812,719,1,,719,4,12,701,18,,,,,,,,,,,,,,,,,,,,,,,,,
E05008615,Cheshire East,Broken Cross & Upton,"6,559","4,276",65.19,"4,251",64.81,"4,333",66.06,,0,2,0,23,0,25,,"1,345","1,116",0,,"1,116",16,35,"1,059",57,,,,,,,,,,,,,,,,,,,,,,,,,
E05008616,Cheshire East,Bunbury,"3,648","2,679",73.44,"2,656",72.81,"2,697",73.93,,0,4,0,19,0,23,,628,507,2,,507,2,12,489,18,,,,,,,,,,,,,,,,,,,,,,,,,
E05008617,Cheshire East,Chelford,"3,243","2,424",74.75,"2,400",74.01,"2,433",75.03,,0,3,0,21,0,24,,703,589,4,,589,0,7,580,9,,,,,,,,,,,,,,,,,,,,,,,,,
E05008618,Cheshire East,Congleton East,"10,402","6,895",66.29,"6,809",65.46,"6,948",66.80,,0,17,0,69,0,86,,"1,670","1,439",8,,"1,439",16,44,"1,386",53,,,,,,,,,,,,,,,,,,,,,,,,,
E05008619,Cheshire East,Congleton West,"10,368","6,855",66.12,"6,736",64.97,"6,906",66.61,,0,27,0,92,0,119,,"1,955","1,647",8,,"1,647",18,32,"1,596",51,,,,,,,,,,,,,,,,,,,,,,,,,
E05008620,Cheshire East,Crewe Central,"3,362","1,486",44.20,"1,465",43.58,"1,519",45.18,,0,4,0,17,0,21,,391,304,2,,304,6,23,271,33,,,,,,,,,,,,,,,,,,,,,,,,,
E05008621,Cheshire East,Crewe East,"10,008","5,772",57.67,"5,701",56.96,"5,861",58.56,,0,4,0,67,0,71,,"1,642","1,356",5,,"1,356",23,57,"1,267",89,,,,,,,,,,,,,,,,,,,,,,,,,
E05008622,Cheshire East,Crewe North,"3,406","2,018",59.26,"2,003",58.82,"2,050",60.20,,0,1,0,14,0,15,,565,467,1,,467,14,17,435,32,,,,,,,,,,,,,,,,,,,,,,,,,
E05008624,Cheshire East,Crewe South,"7,338","4,204",57.29,"4,175",56.89,"4,275",58.26,,0,2,0,27,0,29,,"1,035",853,5,,853,9,36,782,50,,,,,,,,,,,,,,,,,,,,,,,,,
E05008623,Cheshire East,Crewe St. Barnabas,"3,494","1,511",43.25,"1,495",42.79,"1,538",44.02,,0,6,0,10,0,16,,559,413,1,,413,2,23,386,27,,,,,,,,,,,,,,,,,,,,,,,,,
E05008625,Cheshire East,Crewe West,"7,090","4,115",58.04,"4,071",57.42,"4,170",58.82,,0,7,0,37,0,44,,"1,139",873,8,,873,18,32,818,55,,,,,,,,,,,,,,,,,,,,,,,,,
E05008626,Cheshire East,Dane Valley,"7,546","5,676",75.22,"5,652",74.90,"5,709",75.66,,0,1,1,22,0,24,,"1,680","1,494",8,,"1,494",2,18,"1,461",33,,,,,,,,,,,,,,,,,,,,,,,,,
E05008627,Cheshire East,Disley,"3,581","2,541",70.96,"2,502",69.87,"2,565",71.63,,0,0,0,39,0,39,,723,625,3,,625,5,14,601,24,,,,,,,,,,,,,,,,,,,,,,,,,
E05008628,Cheshire East,Gawsworth,"3,227","2,409",74.65,"2,389",74.03,"2,416",74.87,,0,2,1,17,0,20,,599,556,1,,556,0,7,549,7,,,,,,,,,,,,,,,,,,,,,,,,,
E05008629,Cheshire East,Handforth,"7,005","4,477",63.91,"4,437",63.34,"4,513",64.42,,0,1,0,39,0,40,,"1,328","1,106",6,,"1,106",13,21,"1,070",36,,,,,,,,,,,,,,,,,,,,,,,,,
E05008630,Cheshire East,Haslington,"6,392","4,701",73.55,"4,656",72.85,"4,735",74.08,,0,0,0,45,0,45,,"1,189","1,007",9,,"1,007",5,26,973,34,,,,,,,,,,,,,,,,,,,,,,,,,
E05008631,Cheshire East,High Legh,"3,547","2,426",68.40,"2,378",67.05,"2,445",68.94,,0,2,0,46,0,48,,779,696,2,,696,6,9,677,19,,,,,,,,,,,,,,,,,,,,,,,,,
E05008632,Cheshire East,Knutsford,"10,260","7,053",68.74,"6,930",67.54,"7,135",69.54,,0,2,0,115,6,123,,"2,481","2,160",7,,"2,160",25,47,"2,078",82,,,,,,,,,,,,,,,,,,,,,,,,,
E05008633,Cheshire East,Leighton,"4,007","2,586",64.54,"2,576",64.29,"2,607",65.06,,0,2,0,8,0,10,,625,494,2,,494,3,17,473,21,,,,,,,,,,,,,,,,,,,,,,,,,
E05008634,Cheshire East,Macclesfield Central,"6,481","3,815",58.86,"3,790",58.47,"3,848",59.37,,0,1,1,23,0,25,,927,699,4,,699,9,20,666,33,,,,,,,,,,,,,,,,,,,,,,,,,
E05008635,Cheshire East,Macclesfield East,"3,407","2,335",68.54,"2,320",68.10,"2,359",69.24,,0,0,0,15,0,15,,524,431,5,,431,6,16,407,24,,,,,,,,,,,,,,,,,,,,,,,,,
E05008636,Cheshire East,Macclesfield Hurdsfield,"3,295","1,876",56.93,"1,856",56.32,"1,900",57.66,,0,1,0,19,0,20,,499,417,0,,417,7,15,393,24,,,,,,,,,,,,,,,,,,,,,,,,,
E05008637,Cheshire East,Macclesfield South,"6,245","3,704",59.31,"3,685",59.01,"3,752",60.08,,0,1,0,18,0,19,,"1,132",907,1,,907,14,29,859,48,,,,,,,,,,,,,,,,,,,,,,,,,
E05008638,Cheshire East,Macclesfield Tytherington,"6,926","4,836",69.82,"4,781",69.03,"4,892",70.63,,0,1,0,54,0,55,,"1,449","1,252",2,,"1,252",20,33,"1,196",56,,,,,,,,,,,,,,,,,,,,,,,,,
E05008639,Cheshire East,Macclesfield West & Ivy,"6,068","3,708",61.11,"3,664",60.38,"3,757",61.92,,0,1,0,42,1,44,,"1,143",946,1,,946,19,18,897,49,,,,,,,,,,,,,,,,,,,,,,,,,
E05008640,Cheshire East,Middlewich,"10,277","6,625",64.46,"6,569",63.92,"6,781",65.98,,0,17,0,39,0,56,,"1,817","1,545",4,,"1,545",10,35,"1,389",53,,,,,,,,,,,,,,,,,,,,,,,,,
E05008641,Cheshire East,Mobberley,"3,534","2,409",68.17,"2,385",67.49,"2,440",69.05,,0,4,0,20,0,24,,881,777,7,,777,3,19,746,31,,,,,,,,,,,,,,,,,,,,,,,,,
E05008642,Cheshire East,Nantwich North & West,"6,780","4,694",69.23,"4,664",68.79,"4,755",70.13,,0,4,0,26,0,30,,"1,258",999,3,,999,19,40,938,61,,,,,,,,,,,,,,,,,,,,,,,,,
E05008643,Cheshire East,Nantwich South & Stapeley,"6,489","4,595",70.81,"4,562",70.30,"4,646",71.60,,0,6,0,27,0,33,,"1,374","1,177",4,,"1,177",10,35,"1,126",51,,,,,,,,,,,,,,,,,,,,,,,,,
E05008644,Cheshire East,Odd Rode,"6,831","4,806",70.36,"4,771",69.85,"4,835",70.78,,0,3,0,32,0,35,,"1,194","1,054",8,,"1,054",8,19,"1,025",29,,,,,,,,,,,,,,,,,,,,,,,,,
E05008645,Cheshire East,Poynton East & Pott Shrigley,"6,219","4,608",74.10,"4,558",73.30,"4,657",74.89,,0,7,0,43,0,50,,"1,128","1,002",2,,"1,002",19,26,953,49,,,,,,,,,,,,,,,,,,,,,,,,,
E05008646,Cheshire East,Poynton West & Adlington,"6,858","5,080",74.08,"5,027",73.31,"5,117",74.62,,0,5,0,48,0,53,,"1,256","1,083",0,,"1,083",15,16,"1,046",37,,,,,,,,,,,,,,,,,,,,,,,,,
E05008647,Cheshire East,Prestbury,"3,541","2,635",74.41,"2,615",73.85,"2,644",74.66,,0,1,0,19,0,20,,831,719,7,,719,3,6,710,9,,,,,,,,,,,,,,,,,,,,,,,,,
E05008648,Cheshire East,Sandbach Elworth,"3,640","2,627",72.17,"2,606",71.59,"2,632",72.31,,0,2,0,19,0,21,,575,515,1,,515,0,5,510,5,,,,,,,,,,,,,,,,,,,,,,,,,
E05008649,Cheshire East,Sandbach Ettiley Heath & Wheelock,"3,575","2,474",69.20,"2,462",68.86,"2,492",69.70,,0,2,0,10,0,12,,659,544,0,,544,11,7,526,18,,,,,,,,,,,,,,,,,,,,,,,,,
